,word_lvl_MEMM,sent_lvl_MEMM,word_lvl_simple_tagger,sent_lvl_simple_tagger,word_lvl_HMM,sent_lvl_HMM,word_lvl_IMPROVED,sent_lvl_IMPROVED
dev,0.9043376438244578,0.34735899731423453,0.8771510029528561,0.2739480752014324,0.8584156399551981,0.25783348254252464,0.9150216781433308,0.37063563115487913
test,0.8877668927405175,0.28193430656934304,0.8589801557397638,0.2125912408759124,0.8494348153730219,0.21624087591240876,0.9016566795911174,0.3193430656934307
