,nl,pt,en,it,tl,in,fr,es
nl,13.055351021198167,14.048365539095613,13.801164088245054,13.72564075461826,15.45646272615433,14.441501565719387,13.551220404036311,13.579233620938554
pt,14.429281532469178,12.532321244329921,14.132458206036713,13.64519732040077,15.28222862019403,14.702816259407856,13.29914100540932,12.793657574980534
en,13.737920588689484,14.076758314404964,12.988100368579092,13.560570015832331,14.773840326385804,14.3686229803342,13.672072172891653,13.551434498498987
it,14.1738932627816,13.697840829656439,13.867212231557927,12.93794057686297,15.522298839348347,14.81379112911036,13.240263710055347,13.113640954199884
tl,14.056637409228664,14.329370371997733,13.8765131515325,13.868441277466538,13.641066625573524,13.659617471851732,14.60515986909848,13.83216738359441
in,14.301263404033547,14.584162145864322,14.068861945323958,14.205196036439762,14.340620141106593,13.121042205511289,14.598011481130538,14.032240965770045
fr,14.457423307131906,13.816760612654045,13.982237746703296,13.62034939110752,16.344473579667902,15.124689037231247,12.635821570162078,13.42673475797284
es,14.476219139526636,13.432942604517134,14.03752784936493,13.58305168000973,15.823381451200476,14.899854852504644,13.375764874429121,12.40397480008394
