,nl,pt,en,it,tl,in,fr,es
nl,2.940133376927119,42478888679.74299,17113950349.381687,66022123093.87396,146922353996.50925,107652729498.30968,41646337003.382286,52623764132.63687
pt,270807165826.72562,2.8771027358257015,28248014348.744946,47512476461.28492,174379061405.34143,165316635107.25458,38654551136.76694,21310750810.86592
en,227174239553.22577,43840301599.57633,2.8513593291888184,70192891619.43843,198125448609.55887,140774787750.76334,22756993419.86948,19277400945.069008
it,216391116266.88525,20383794366.29179,43371868027.03848,2.948340877891059,191309998034.65576,136922935986.69554,29309080962.285942,27405738038.157055
tl,177407052942.7239,15830238649.40131,19500419164.113716,42203613057.51595,2.958456817830472,84132976537.36104,40067052625.75025,27895351145.095047
in,155369693515.6069,16083869660.663998,18366575779.48526,56077460744.431366,110330448478.66011,3.221988050022462,34827092535.39238,32335539911.594727
fr,213330486387.56223,37482929677.8979,43068321681.702866,68346179923.85449,218228456939.24817,191967613697.83466,2.873818753453715,35909808594.94636
es,244331452239.38086,22844856969.88993,55671139479.351814,69093898463.71672,171275772927.00107,182083210251.78296,51666390041.56666,2.988029519847234
