,nl,pt,en,it,tl,in,fr,es
nl,21.81780399958642,64.72824236099592,43.957514210220225,60.618340296848615,61.43672215483386,67.6985553411006,50.02973587975494,57.1555890184978
pt,69.39374248329759,19.4540943810003,58.672516048613744,48.847780601874256,66.19098680740227,76.55001532389305,53.53001910100364,37.71069701838833
en,50.653913438774744,58.53773155183794,19.554449502889973,54.00792661892646,58.272178878297694,68.07376184189417,47.1140711078647,52.21676933909256
it,62.69806412615965,44.00014642636089,52.3840604634839,20.00074572549004,60.81337832093794,71.15904253234746,48.53483925588441,39.31105139867866
tl,60.26437235531826,59.023774441562104,42.12080385607388,54.35877961794187,23.27440200890008,52.80159629796908,58.884836206049194,53.42080097173383
in,58.405617685085254,62.80643134663708,49.65245882661833,58.78124625031897,46.86125172141858,25.33294199653934,59.65024456676963,58.20307978153944
fr,55.282971251384986,51.45573288019189,47.240517709841086,49.794122059505696,67.41175231117475,71.19980580782969,18.3822987234053,43.474980450947285
es,61.05620704700841,38.707795306617676,54.241519815468024,42.845782623188484,65.71266391200517,70.56928194740969,46.57830994113233,18.508945082042914
