,nl,pt,en,it,tl,in,fr,es
nl,4.882239769804702,52336051.72737737,593454935.115273,9841369.281837307,16499098135.704782,790866763.8362089,722715980.0243762,133547282.13371937
pt,18436387171.894035,4.4055990073253195,114423715.3260246,244705790.9001415,12068398273.433765,719096945.7912219,8154550529.249066,8236058019.253126
en,12239681792.053482,34221402.151213996,4.663513308136364,10168204.792622156,17398649462.094692,1678179557.5433443,9545158.301133368,190479547.68851927
it,13460623361.13494,82213085.07101202,260541007.46551093,4.578527597398258,9901893308.755512,858458750.2159439,14547590.241927395,8226561514.480208
tl,1986249075.0031857,70938524.6328611,256460743.68619376,117529930.97990201,4.755331783140649,902069507.891782,174304616.40422225,304143812.42808485
in,12897891466.376593,51545709.11580642,8120439484.234222,201272858.2650288,8485408661.592042,5.1763466748333,8109995095.681754,121859585.29639336
fr,5489494878.383513,48675235.44809011,388702172.0430252,151814940.89923263,9753481210.843243,1143057077.3422332,4.565810546583771,337402838.16914606
es,18732809319.972927,153894308.95898885,108252224.58106391,8232571393.657748,18304863190.341713,1905303170.1248837,8281172091.91637,4.5374869258464665
