,nl,pt,en,it,tl,in,fr,es
nl,7.825102872015284,46988049.53511244,2613325.0150446924,579.9905527349115,8106381297.9835615,15881516.871405628,508.3949577257025,17889758.873586558
pt,1921112570.3839335,7.221651311237606,404261.57873526873,88637.87231696829,135845850.88652518,57679657.16366294,1071.3771198598433,20144209.890823044
en,3631126.864199214,3903308.0483476426,7.7533579737148095,541.9141746423675,17880657.367047124,21707800.728216898,668.5051406498817,31532312.132184908
it,29461153.263244815,45575382.81067224,1757246.4748978012,7.425919048421334,8120958352.9824505,8064902.28771487,552.4998813203363,31171137.89629963
tl,49655.48135437033,42025738.6886388,1965165.8508122696,4074.0839353743445,7.751329153000699,59721548.828797124,379.94254588888714,31681898.12137028
in,440487415.2497692,36477957.74697715,361115.2536863308,83196.55972958381,8110807636.961618,7.900932312175419,291.53542923305207,1982945.6088267846
fr,1904568937.152564,46411759.25876139,5835046.698947946,17407.602872108273,8143641892.235807,27730869.3864106,7.4556466023896215,31483595.946401715
es,720244357.5920112,45813654.38252956,3200163.7071056347,18924.80428595426,8140384206.445022,8438805.407280294,717.4155605484414,7.141149215969181
