,nl,pt,en,it,tl,in,fr,es
nl,8.877778208161809,12.290809554713036,10.500405218621086,11.438370528307347,11.78369753378048,11.651018824332732,11.319826073281776,11.449697024703053
pt,12.70636106263599,8.40213944620819,12.091189196022874,10.374596809673982,12.78909133299087,13.101194370855728,11.113837532863375,9.475606742915124
en,10.756927660672957,11.775901442059242,8.7535591733128,10.760405940692575,11.264858261610808,11.45280265041577,11.020414670557084,10.68603754221781
it,12.286572178834653,10.61457132574431,11.646922330278162,8.470857505722345,12.185961134184263,12.591506663999798,11.073619490504777,9.772669325245047
tl,11.525195464619184,11.838350990755838,10.514426226827307,10.669552278273393,8.985506981346917,10.370755062642278,12.176578541213146,10.764721291707886
in,11.266194903360102,12.314907608910454,11.070990615248364,11.070267560166258,10.413510998020294,9.091609698562896,12.28329279119137,11.286427181622745
fr,11.420990186961829,10.953503292526369,10.83210651478368,10.506753645789113,12.675783317502454,12.330717599238293,8.42473543502348,10.09608012802998
es,12.323374384297983,10.135697050381042,11.763559912124533,10.047446147123317,12.504473119775604,12.70456646171366,10.993153465171144,8.128653527826458
