,nl,pt,en,it,tl,in,fr,es
nl,13.059354009376825,318771.32035626157,401583.57427755295,23.9363231380126,132623985.34443791,2055670.7902384158,99.79840387515047,645490.1246174957
pt,8939317.481508298,12.5287563611233,316546.8844259046,3809.395368733101,468835.6648774113,950826.7262476287,168.4551185249188,223.7443205690015
en,111.75915020133613,421.85869195168294,12.9855406541703,17.50632607371845,39654.42407339733,2020491.1098741053,165.8678662751129,934512.3057834184
it,3855.3092380114126,319541.1692674958,297790.7108587015,12.931397671242244,131872869.82757121,1653107.395586056,132.93522959923928,920521.3027816623
tl,84.57085593607206,229114.53585792365,161933.09380550057,26.581135302990997,13.739129966705361,68247.99838192857,28.77670975926259,1065929.5809989807
in,3347.819397142837,224451.22557626455,9005.418680779352,43.43292392098901,597.6709643810728,13.151828860402789,24.50084168742879,45.55968498884881
fr,8785784.725136356,316870.5634818887,284901.78674584633,514.8746981435888,133654629.32888708,569020.0273128336,12.634478748406746,7023423.311106194
es,76603.30483336684,229078.57623685192,238445.2459457295,32.5535353807849,132255944.21769364,938114.0515317089,149.1624990010944,12.403364187729311
