,precision,recall,f1-score,support
Cause-Effect,0.7588832487309645,0.9115853658536586,0.8282548476454293,328.0
Component-Whole,0.7758007117437722,0.6987179487179487,0.7352445193929174,312.0
Content-Container,0.8631578947368421,0.8541666666666666,0.8586387434554975,192.0
Entity-Destination,0.8138138138138138,0.928082191780822,0.8672,292.0
Entity-Origin,0.7083333333333334,0.7906976744186046,0.7472527472527473,258.0
Instrument-Agency,0.6838709677419355,0.6794871794871795,0.6816720257234727,156.0
Member-Collection,0.7391304347826086,0.8025751072961373,0.7695473251028807,233.0
Message-Topic,0.6686217008797654,0.8735632183908046,0.7574750830564784,261.0
Other,0.547945205479452,0.3524229074889868,0.42895442359249325,454.0
Product-Producer,0.7263157894736842,0.5974025974025974,0.6555819477434679,231.0
accuracy,0.7269046742730954,0.7269046742730954,0.7269046742730954,0.7269046742730954
macro avg,0.7285873100716171,0.7488700857503406,0.7329821662965385,2717.0
weighted avg,0.716610627136077,0.7269046742730954,0.7145628359559301,2717.0
